Method,Path,Body,Single Quotes,Double Quotes,Dashes,Braces,Spaces,Tags,Colons,Backtick,Bad Words,XSS Check,XSS Word,Cmdi Word,Cmdi Check,Class
GET,/topics/law-school.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/alternative-medicine-degrees.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/law-school-2.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/nursing-continuing-education.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/law-degree.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/paralegal-schools.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/driver-education.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/driving-schools.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/paralegal-education.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/defensive-driving-classes.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/driving-school-2.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/driving-school.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/driving-lessons.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/drivers-ed-classes.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/truck-driving-schools-2.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/drivers-education.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/truck-driving-school.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/truck-driving-schools.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/school-bus.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/traffic-school.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/school-bus-2.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/online-schools.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/online-college-courses.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/online-certificate-programs.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/online-college.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/distance-education-master-degree-online.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
GET,/topics/online-colleges.html,,0,0,0,0,0,0,0,0,0,0,0,0,0,good
